Nombre del Centro;Nº de Registro;Dirección;Código postal;Localidad;Provincia;Teléfono;Fax;Tipo de Centro;Finalidad Asistencial;Titularidad;Dependencia Funcional
CENTRO ÓPTICO VADILLOS;47-E-0046;CL. CASASOLA 7  ;47005;VALLADOLID;VALLADOLID;983356096;0;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE ÓPTICA;ESTEBAN VEGA , JESÚS;PRIVADOS;
CENTRO ÓPTICO VISIONLENS;05-E-0001;PZ. CONDESTABLE DÁVALOS  1  ;05400;ARENAS DE SAN PEDRO;AVILA;920372615;920372615;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE AUDIOPRÓTESIS#ESTABLECIMIENTO DE ÓPTICA;CENTRO ÓPTICO VISIONLENS C.B.;PRIVADOS;
CENTRO ÓPTICO Y AUDIOLÓGICO RECOLETOS;47-E5-0003;PS. ZORRILLA 32  ;47008;VALLADOLID;VALLADOLID;670011774;0;ESTABLECIMIENTO DE AUDIOPRÓTESIS;ESTABLECIMIENTO DE AUDIOPRÓTESIS#ESTABLECIMIENTO DE ÓPTICA;GARCÍA MARTÍNEZ , JOSÉ ANDRÉS;;
CENTRO ÓPTICO Y AUDITIVO AVENIDA 44;47-E-0047;AV. MADRID 44  ;47140;LAGUNA DE DUERO;VALLADOLID;983546264;983546264;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE AUDIOPRÓTESIS#ESTABLECIMIENTO DE ÓPTICA;BRINGAS VÁZQUEZ , JACINTO;PRIVADOS;
CENTRO ÓPTICO Y AUDITIVO SIMÓN;05-E-0017;PZ. DEL ROLLO 12  ;05002;AVILA;AVILA;920223234;920223234;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE AUDIOPRÓTESIS#ESTABLECIMIENTO DE ÓPTICA;DELGADO PALOMERO , JUAN CARLOS;PRIVADOS;
CENTRO ÓPTICO Y AUDITIVO VÍA DE LA PLATA;24-E-0041;AV. VÍA DE LA PLATA 34  ;24750;BAÑEZA (LA);LEON;987642734;987642734;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE AUDIOPRÓTESIS#ESTABLECIMIENTO DE ÓPTICA;LÓPEZ MARTÍNEZ , FCO. ALEJANDRO;PRIVADOS;
CENTRO ÓPTICO-AUDITIVO PEÑA;42-E-0007;AV. DE MADRID 3  ;42100;AGREDA;SORIA;976647291;0;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE AUDIOPRÓTESIS#ESTABLECIMIENTO DE ÓPTICA;ARLEGUI PEÑA , Mª TERESA;PRIVADOS;
CENTRO ORAL Y MAXILOFACIAL BUCCAL;47-C251-0051;CL. LÓPEZ GÓMEZ 11  ;47002;VALLADOLID;VALLADOLID;983304831;983210460;ESPECIALIZADOS: CLÍNICAS DENTALES;CIRUGÍA MAXILOFACIAL#ODONTOLOGÍA / ESTOMATOLOGÍA;CENTRO ORAL Y MAXILOFACIAL BUCCAL , S.L.;PRIVADOS;
CENTRO ORAL Y MAXILOFACIAL BUCCAL - ZAMORA;49-C251-0091;AV. PORTUGAL 22  ;49016;ZAMORA;ZAMORA;980534200;980531646;ESPECIALIZADOS: CLÍNICAS DENTALES;CIRUGÍA MAXILOFACIAL#ODONTOLOGÍA / ESTOMATOLOGÍA;CENTRO ORAL Y MAXILOFACIAL BUCCAL, S.L.;PRIVADOS;
CENTRO ORAL Y MAXILOFACIAL BUCCAL EN PALENCIA;34-C251-0029;CL. GIL FUENTES 1  ;34001;PALENCIA;PALENCIA;979707025;979707026;ESPECIALIZADOS: CLÍNICAS DENTALES;CIRUGÍA MAXILOFACIAL#ODONTOLOGÍA / ESTOMATOLOGÍA;CENTRO ORAL Y MAXILOFACIAL BUCCAL S.L.;PRIVADOS;
CENTRO ORIENTACION ESCOLAR Y LOGOPEDIA;24-C22-0120;CL. DOS DE MAYO 15  C;24402;PONFERRADA;LEON;987412413;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;LOGOPEDIA;FERNANDEZ BELLO , ROSA Mª;PRIVADOS;
CENTRO ORTODONCIA DR. CARRASCAL;47-C251-0001;PS. DE ZORRILA 13  C;47007;VALLADOLID;VALLADOLID;983278824;983472644;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;CENTRO ORTODONCIA DR. CARRASCAL, S.L.U.;PRIVADOS;
CENTRO ORTOPEDICO JOSE AGUADO;24-E-0073;AV. JOSE AGUADO 32  ;24005;LEON;LEON;987204953;987204953;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE ORTOPEDIA;CENTRO ORTOPEDICO JOSE AGUADO S.L.;PRIVADOS;
CENTRO ORTOPÉDICO PÉREZ GALDÓS;47-E4-0001;CL. BAILARÍN VICENTE ESCUDERO   ;47005;VALLADOLID;VALLADOLID;983303333;0;ESTABLECIMIENTO DE ORTOPEDIA;ESTABLECIMIENTO DE ORTOPEDIA;CENTRO ORTOPÉDICO PÉREZ GALDÓS SL;PRIVADOS;
CENTRO P.E.T. VALLADOLID S.L.U.;47-C2590-0002;CL. MELENDRO 2  ;47014;VALLADOLID;VALLADOLID;983377772;983377396;OTROS CENTROS ESPECIALIZADOS;DEPÓSITO DE MEDICAMENTOS#MEDICINA NUCLEAR;CENTRO P.E.T. VALLADOLID S.L.U.;PRIVADOS;
CENTRO PHYSIOSPORT;42-C2590-0002;PZ. ODÓN ALONSO (ANTIGUA PLAZA JOSÉ ANTONIO) 2  5;42003;SORIA;SORIA;975213672;975213677;OTROS CENTROS ESPECIALIZADOS;FISIOTERAPIA;FISIOSBYP, S.L;PRIVADOS;
CENTRO PODOLÓGICO;40-C22-0077;CL. CONDE SEPÚLVEDA  39  ;40006;SEGOVIA;SEGOVIA;921435827;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;PODOLOGÍA;PLAZA LASTRAS , ISABEL;PRIVADOS;
CENTRO PODOLÓGICO ALMUDENA SANZ PRIETO;40-C22-0083;CM. DE  PALAZUELOS 21  A;40194;TABANERA DEL MONTE;SEGOVIA;921447622;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;PODOLOGÍA;SANZ PRIETO , ALMUDENA;PRIVADOS;
CENTRO PODOLOGICO JAVIER GARCIA PASTOR;24-C22-0071;CL. INDEPENDENCIA 27  D;24003;LEON;LEON;987171418;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;PODOLOGÍA;GARCÍA PASTOR , JAVIER;PRIVADOS;
CENTRO PODÓLÓGICO LUCÍA DÍEZ;40-C22-0065;CL. VÍA ROMA 6  ;40003;SEGOVIA;SEGOVIA;686173062;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;PODOLOGÍA;DÍEZ YAGÜE , LUCÍA;PRIVADOS;
CENTRO PODOLÓGICO SALAS;09-C22-0007;CL. SAN ROQUE 3  ;09600;SALAS DE LOS INFANTES;BURGOS;947380944;947380020;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;PODOLOGÍA;ALONSO GARCÍA , Mª DE NAVA;PRIVADOS;
CENTRO POLICLÍNICO ARANDA;09-C24-0012;CL. ANTONIO Y MANUEL CEBAS 1  ;09400;ARANDA DE DUERO;BURGOS;947048300;947048217;CENTROS POLIVALENTES;ALERGOLOGÍA#CIRUGÍA GENERAL Y DIGESTIVO#CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA#DERMATOLOGÍA #ENFERMERÍA#FISIOTERAPIA#GINECOLOGÍA #MEDICINA GENERAL /  DE FAMILIA#MEDICINA INTERNA#OBSTETRICIA#OBTENCIÓN DE MUESTRAS#OFTALMOLOGÍA#OTORRINOLARINGOLOGÍA#OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA)#PSIQUIATRÍA#RADIODIAGNÓSTICO#UROLOGÍA#VACUNACIÓN ;CENTRO POLICLÍNICO ARANDA, S.L.;PRIVADOS;
CENTRO POLIVALENTE OLGA GARCÍA DÍEZ;24-C24-0043;CL. NUEVA 21  A;24450;TORENO;LEON;605599533;0;CENTROS POLIVALENTES;FISIOTERAPIA#PODOLOGÍA;GARCIA DIEZ , OLGA;PRIVADOS;
CENTRO POLIVALENTE RECOLETAS ZAMORA;49-C24-0013;AV. TRES CRUCES 11  ;49003;ZAMORA;ZAMORA;980535453;0;CENTROS POLIVALENTES;ALERGOLOGÍA#APARATO DIGESTIVO#CARDIOLOGÍA#CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA#DERMATOLOGÍA #ENDOCRINOLOGÍA #ENFERMERÍA#LOGOPEDIA#MEDICINA GENERAL /  DE FAMILIA#NEFROLOGÍA#NEUROLOGÍA#OBTENCIÓN DE MUESTRAS#OTRAS UNIDADES ASISTENCIALES#PSICOLOGÍA CLÍNICA#PSIQUIATRÍA#REUMATOLOGÍA#UROLOGÍA;HOSPITAL RECOLETAS ZAMORA, S.L.U.;PRIVADOS;
CENTRO POLIVALENTE Y DE RECONOCIMIENTOS MÉDICOS NUEVA SEGOVIA;40-C24-0018;PZ. DE ESPRONCEDA 16  ;40006;SEGOVIA;SEGOVIA;637768468;0;CENTROS POLIVALENTES;MEDICINA GENERAL /  DE FAMILIA#OTRAS UNIDADES ASISTENCIALES (CENTRO DE RECONOCIMIENTO) #OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);DE ANDRÉS HERNANDO , LIDIA;PRIVADOS;
CENTRO PSICOLOGIA LEÓN;24-C22-0109;AV. PADRE ISLA 30  C;24002;LEON;LEON;667474772;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);RODRIGUEZ LOPEZ , ANA Mª ;PRIVADOS;
CENTRO PSICOLOGÍA MIRIAM E.R.;47-C22-0228;CL. ARNALDO DE VILANOVA 8 B D;47195;ARROYO;VALLADOLID;645124991;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);ESTÉVEZ ROBLES , MIRIAM;PRIVADOS;
CENTRO PSICOLÓGICO ARRANZ;47-C22-0210;CL. ARNALDO DE VILANOVA (INSTALACIONES DEL CENTRO DE PSICOLOGÍA MTE) 8 B D;47195;ARROYO;VALLADOLID;657987145;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);ARRANZ GALLEGO , ROGELIO DAVID;PRIVADOS;
CENTRO PSICOLÓGICO LEILA DEL PEÑO;47-C22-0193;CL. ARNALDO DE VILANOVA (PORTAL B) ( INSTALACIONES DEL CENTRO MTE) 8  D;47195;VALLADOLID;VALLADOLID;654686073;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);DEL PEÑO CASTREJÓN , LEILA;PRIVADOS;
CENTRO PSICOLÓGICO PARQUESOL;47-C22-0168;CL. CIUDAD DE LA HABANA (ESC. DERECHA, ENTREPLANTA, A) 4  ;47014;VALLADOLID;VALLADOLID;983372125;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);CENTRO PSICOLÓGICO PARQUESOL CB;PRIVADOS;
CENTRO PSICOLÓGICO Y EDUCATIVO HUERTA DEL REY;47-C22-0114;CL. PÍO DEL RÍO HORTEGA 10  ;47014;VALLADOLID;VALLADOLID;983341342;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);BENITO MATE , MARÍA YOLANDA;PRIVADOS;
CENTRO PSICOTÉCNICO PANADEROS;47-C2510-0012;CL. PANADEROS 42  ;47004;VALLADOLID;VALLADOLID;983343781;0;ESPECIALIZADOS: CENTROS DE RECONOCIMIENTO;OTRAS UNIDADES ASISTENCIALES (CENTRO DE RECONOCIMIENTO) #OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);CENTRO PSICOTÉCNICO SAN PABLO, S.L.;PRIVADOS;
CENTRO QUALITY;24-C22-0113;AV. DE AMERICA 3  ;24400;PONFERRADA;LEON;619813893;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;ALONSO SERRANO , TOMAS;PRIVADOS;
CENTRO RADIOLÓGICO DR. SÁIZ SANTANA;42-C256-0006;CL. MANUEL BLASCO 6  ;42003;SORIA;SORIA;975231323;0;ESPECIALIZADOS: CENTROS DE DIAGNÓSTICO;RADIODIAGNÓSTICO;CENTRO RADIOLÓGICO DR. SÁIZ SANTANA, S.L.;PRIVADOS;
CENTRO RECOLETOS 8;47-C24-0079;CL. ACERA DE RECOLETOS 8  ;47004;VALLADOLID;VALLADOLID;983136210;983119124;CENTROS POLIVALENTES;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA#ENFERMERÍA#FISIOTERAPIA;SOPRACO SALUD S.L.;PRIVADOS;
CENTRO REDACER;24-C24-0008;CL. NÚÑEZ DE GUZMÁN 6  ;24002;LEON;LEON;987224458;987030848;CENTROS POLIVALENTES;FISIOTERAPIA#LOGOPEDIA#TERAPIA OCUPACIONAL;REDACER, S.L.;PRIVADOS;
CENTRO REGIONAL DE MEDICINA DEPORTIVA;47-C2590-0009;CL. REAL DE BURGOS 0  ;47011;VALLADOLID;VALLADOLID;983255400;983266104;OTROS CENTROS ESPECIALIZADOS;ANÁLISIS CLÍNICOS#ENFERMERÍA#FISIOTERAPIA#MEDICINA DE LA EDUCACIÓN FÍSICA Y EL DEPORTE#OBTENCIÓN DE MUESTRAS#REHABILITACIÓN;GERENCIA  REGIONAL DE SALUD;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;
CENTRO RESIDENCIAL GERIÁTRICO VIRGEN DEL AVELLANO;24-C3-0056;CL. PRADO REY 8  ;24122;LORENZANA;LEON;987577452;987577452;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACIÓN NO SANITARIA;DEPÓSITO DE MEDICAMENTOS#ENFERMERÍA#FISIOTERAPIA#MEDICINA GENERAL /  DE FAMILIA#TERAPIA OCUPACIONAL;MARCOS MESA, C.B.;PRIVADOS;
CENTRO RESIDENCIAL Y UNIDAD DE ESTANCIAS DIURNAS C.S.S. VALLE DE LACIANA;24-C3-0213;AV. ASTURIAS, S/N   ;24100;VILLABLINO;LEON;987481057;987470837;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACIÓN NO SANITARIA;DEPÓSITO DE MEDICAMENTOS#ENFERMERÍA#FISIOTERAPIA#MEDICINA GENERAL /  DE FAMILIA#OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA)#TERAPIA OCUPACIONAL;UTE LACIANA;PRIVADOS;
CENTRO RESIDENCIAL-ASISTENCIAL LOS ALAMOS;49-C3-0071;CR. BENAVENTE-ORENSE, KM 15,5   ;49622;QUIRUELAS DE VIDRIALES;ZAMORA;980646156;980646157;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACIÓN NO SANITARIA;ENFERMERÍA#FISIOTERAPIA#MEDICINA GENERAL /  DE FAMILIA#TERAPIA OCUPACIONAL;MATELLANES 48, S.L.;PRIVADOS;
CENTRO SALMANTINO PSICÓLOGOS;37-C22-0157;PZ. DE ESPAÑA, 5-6 (EDIFICIO ESPAÑA-OFICINA 214)   ;37004;SALAMANCA;SALAMANCA;923282920;923233056;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA)#PSICOLOGÍA CLÍNICA;MARTÍN OTERINO , ROSA MARÍA;PRIVADOS;
CENTRO SALUD PARADA DEL MOLINO;49-C231-0009;CL. PARADA DEL MOLINO 2  ;49026;ZAMORA;ZAMORA;980511411;980518793;CENTROS DE ATENCIÓN PRIMARIA: CENTROS DE SALUD;ATENCIÓN SANITARIA DOMICILIARIA#ENFERMERÍA#ENFERMERÍA OBSTÉTRICO - GINECOLÓGICA (MATRONA)#MEDICINA GENERAL /  DE FAMILIA#PEDIATRÍA#URGENCIAS;JUNTA DE CASTILLA Y LEÓN;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;
CENTRO SAN CRISTOBAL;24-C21-0130;CL. SANTALLA DE OSCOS 133  ;24560;TORAL DE LOS VADOS;LEON;670485801;0;CONSULTAS MÉDICAS;MEDICINA GENERAL /  DE FAMILIA#OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);NÚÑEZ CAUREL , DEMETRIO;PRIVADOS;
CENTRO SANITARIO DE INGEMÉDICA;09-C24-0028;PS. DE LA ISLA 10  ;09003;BURGOS;BURGOS;947256395;947256769;CENTROS POLIVALENTES;ENFERMERÍA#MEDICINA GENERAL /  DE FAMILIA#OTRAS UNIDADES ASISTENCIALES (CENTRO DE RECONOCIMIENTO) ;INGEMÉDICA, S.L.;PRIVADOS;
CENTRO SANITARIO PREVENLEÓN;24-C24-0028;CL. RENUEVA 10  ;24002;LEON;LEON;987876180;987976337;CENTROS POLIVALENTES;ENFERMERÍA#MEDICINA DEL TRABAJO#MEDICINA ESTÉTICA#MEDICINA GENERAL /  DE FAMILIA#OTRAS UNIDADES ASISTENCIALES (CENTRO DE RECONOCIMIENTO) ;PREVENLEÓN, S.L.;PRIVADOS;
CENTRO SICADENT;24-C24-0045;CL. POSTAS 5  ;24700;ASTORGA;LEON;987618847;987618847;CENTROS POLIVALENTES;FISIOTERAPIA#ODONTOLOGÍA / ESTOMATOLOGÍA;SICADENT, S.L.;PRIVADOS;
CENTRO TAI YUAN;09-C21-0209;AV. CANTABRIA 52  5;09006;BURGOS;BURGOS;615250621;0;CONSULTAS MÉDICAS;MEDICINA GENERAL /  DE FAMILIA#TERAPIAS NO CONVENCIONALES;SANTAMARÍA BLANCO , FEDERICO;PRIVADOS;
CENTRO TERAPÉUTICO ORIÓN;40-C24-0010;CL. CRISTO DEL MERCADO 1  ;40005;SEGOVIA;SEGOVIA;921420069;0;CENTROS POLIVALENTES;FISIOTERAPIA#OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);CENTRO TERAPÉUTICO ORIÓN, C.B.;PRIVADOS;
CENTRO UROLÓGICO MIGUEL ISCAR 13;47-C21-0001;CL. MIGUEL ISCAR 13 I ;47001;VALLADOLID;VALLADOLID;983344835;983360010;CONSULTAS MÉDICAS;DEPÓSITO DE MEDICAMENTOS#UROLOGÍA;REBOTO RODRÍGUEZ , ÁNGEL DARÍO;PRIVADOS;
CENTRO VISIÓN;40-E-0014;CL. PUENTE DE MUERTE Y VIDA 1  ;40005;SEGOVIA;SEGOVIA;921434484;0;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE ÓPTICA;GIL RINCÓN , CRISTINA;PRIVADOS;
CENTRO VS PREVENCIÓN;09-C24-0004;CL. CONDADO DE TREVIÑO (POLÍGONO INDUSTRIAL DE VILLALONQUÉJAR) 71  ;09007;BURGOS;BURGOS;947473340;947473341;CENTROS POLIVALENTES;ENFERMERÍA#MEDICINA DEL TRABAJO#MEDICINA GENERAL /  DE FAMILIA#OTRAS UNIDADES ASISTENCIALES (CENTRO DE RECONOCIMIENTO) ;VIGILANCIA DE LA SALUD Y PREVENCIÓN LABORAL, S.L.;PRIVADOS;
CENTRO YEYUK;47-C24-0060;AV. JOSÉ LUIS LASA 8  ;47195;ARROYO;VALLADOLID;983407489;0;CENTROS POLIVALENTES;FISIOTERAPIA#LOGOPEDIA;GIMNASIO JORCA, S.L.;PRIVADOS;
CENTRO ZAMORANO DE RECONOCIMIENTO MÉDICO Y PSICOTÉCNICO;49-C2510-0006;AV. PRÍNCIPE DE ASTURIAS 31  ;49011;ZAMORA;ZAMORA;980516933;0;ESPECIALIZADOS: CENTROS DE RECONOCIMIENTO;OTRAS UNIDADES ASISTENCIALES;HIDALGO CASTAÑO , MANUEL;PRIVADOS;
CENTRODE PSICOLOGÍA CLÍNICA ALEJANDRO ALDAZÁBAL;09-C22-0090;CL. SAN PABLO 17  I;09002;BURGOS;BURGOS;947276878;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;PSICOLOGÍA CLÍNICA;ALDAZÁBAL VIGANÓ , ALEJANDRO MARTÍN;PRIVADOS;
CENTROS MÓVILES DE ASISTENCIA SANITARIA AMBULANCIAS BELÉN PUERTO;24-C257-0022;AV. ASTORGA 9  ;24401;PONFERRADA;LEON;0;0;CENTROS MÓVILES DE ASISTENCIA SANITARIA;TRANSPORTE SANITARIO #URGENCIAS;AMBULANCIAS BELÉN PUERTO S.L.;PRIVADOS;
CENTROS MÓVILES DE ASISTENCIA SANITARIA DE CRUZ ROJA ESPAÑOLA DE BURGOS;09-C257-0006;CL. CRUZ ROJA 0  ;09006;BURGOS;BURGOS;947212311;0;CENTROS MÓVILES DE ASISTENCIA SANITARIA;TRANSPORTE SANITARIO #URGENCIAS;CRUZ ROJA ESPAÑOLA;ORGANIZACIONES NO GUBERNAMENTALES;
CENTROS MÓVILES DE ASISTENCIA SANITARIA DE D. ENRIQUE ALONSO MARTÍNEZ;34-C257-0001;CL. MAGDALENA 17  ;34340;VILLADA;PALENCIA;979844004;979844676;CENTROS MÓVILES DE ASISTENCIA SANITARIA;TRANSPORTE SANITARIO #URGENCIAS;ALONSO MARTÍNEZ , ENRIQUE;PRIVADOS;
CENTROS MÓVILES DE ASISTENCIA SANITARIA DE SAMUR LEÓN;24-C257-0015;CL. MAESTRO URIARTE 3  ;24008;LEON;LEON;987876216;987876230;CENTROS MÓVILES DE ASISTENCIA SANITARIA;TRANSPORTE SANITARIO #URGENCIAS;SAMUR LEÓN, S.L.;PRIVADOS;
CENTROS MÓVILES DE ASISTENCIA SANITARIA ENRIQUE BLANCO;24-C257-0014;CL. MAESTRO URIARTE 3  ;24000;LEON;LEON;0;0;CENTROS MÓVILES DE ASISTENCIA SANITARIA;TRANSPORTE SANITARIO #URGENCIAS;AMBULANCIAS ENRIQUE BLANCO, S.L.;PRIVADOS;
CENTROS MÓVILES DE ASISTENCIA SANITARIA ENRIQUE BLANCO (PONFERRADA);24-C257-0003;AV. DE GALICIA 336  ;24400;PONFERRADA;LEON;987455153;987455690;CENTROS MÓVILES DE ASISTENCIA SANITARIA;TRANSPORTE SANITARIO #URGENCIAS;AMBULANCIAS ENRIQUE BLANCO, S.L.;PRIVADOS;
CENTROS ÚNICO PALENCIA;34-C21-0081;AV. DE MADRID 37  ;34004;PALENCIA;PALENCIA;688639048;0;CONSULTAS MÉDICAS;MEDICINA GENERAL /  DE FAMILIA;PUMAR CORDERO , Mª PILAR;PRIVADOS;
CEOÍN SEGOVIA;40-C251-0019;CL. FERNÁNDEZ LADREDA 10  C;40001;SEGOVIA;SEGOVIA;921461734;0;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;CEOÍN SEGOVIA, S.L.;PRIVADOS;
CEPTECO, CENTRO PSICOLOGICO DE TERAPIA DE CONDUCTA;24-C22-0148;PZ. CORTES LEONESAS 9  D;24003;LEON;LEON;987261562;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;PSICOLOGÍA CLÍNICA;CUETO BAÑOS , MIGUEL ÁNGEL;PRIVADOS;
CETEMAFI;34-C24-0009;AV. CASADO DEL ALISAL 19  ;34001;PALENCIA;PALENCIA;979710064;979100133;CENTROS POLIVALENTES;ENFERMERÍA#FISIOTERAPIA#MEDICINA GENERAL /  DE FAMILIA#OBTENCIÓN DE MUESTRAS#PEDIATRÍA#REHABILITACIÓN;CETEMAFI, S.L.;PRIVADOS;
CEVARMA;47-C2510-0007;CL. VERBENA 7  ;47005;VALLADOLID;VALLADOLID;983212295;0;ESPECIALIZADOS: CENTROS DE RECONOCIMIENTO;OTRAS UNIDADES ASISTENCIALES;CENTRO VALLIS. RECONOCIMIENTOS MÉDICOS AUTOM.,S.L.;PRIVADOS;
CHRISTIAN ÓPTICOS;37-E-0063;CL. PEDRO VELASCO  2-4  ;37210;VITIGUDINO;SALAMANCA;923500422;0;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE AUDIOPRÓTESIS#ESTABLECIMIENTO DE ÓPTICA;ÓPTICA CHRISTIAN, S.A.;PRIVADOS;
CHV CLÍNICA DENTAL;42-C251-0022;PZ. RAMÓN Y CAJAL 8  A;42002;SORIA;SORIA;975226812;975226812;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;HERNÁNDEZ VICENTE , CARLOS VICENTE;PRIVADOS;
CID CLÍNICA DENTAL;40-C251-0086;CL. ESCULTOR MARINAS 6  ;40002;SEGOVIA;SEGOVIA;921436946;0;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;LUENGO GALLEGO , JUAN JOSÉ;PRIVADOS;
CÍNICA DENTAL VITALDENT;34-C251-0078;CL. SAN BERNARDO ESQUINA CALLE MAYOR, S/N   ;34001;PALENCIA;PALENCIA;979707082;0;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;CUBI ODONTOLÓGICA, S.L.U.;PRIVADOS;
CIRUGÍA BÉJAR;37-C21-0231;PZ. DE ESPAÑA 10-12  ;37700;BEJAR;SALAMANCA;658039234;0;CONSULTAS MÉDICAS;CIRUGÍA GENERAL Y DIGESTIVO;SANCHEZ TOCINO , JUAN MARIA;PRIVADOS;
CITOCLINIC;24-C256-0002;AV. ORDOÑO II 13  A;24001;LEON;LEON;987252923;987260419;ESPECIALIZADOS: CENTROS DE DIAGNÓSTICO;ANÁLISIS CLÍNICOS#ANATOMÍA PATOLÓGICA;CITOCLINIC, LABORATORIO DIAGNÓSTICO DE LEÓN S.L.U.;PRIVADOS;
CLABDENT-AEH;42-C251-0038;AV. DE SORIA 6  ;42110;OLVEGA;SORIA;976253266;0;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;CLABDENT-AEH, S.L.L. (B50920750);PRIVADOS;
CLARIN CLINIC FISIOTERAPIA;37-C22-0164;CL. AZUCENA 4-6  B;37001;SALAMANCA;SALAMANCA;656607179;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;SÁNCHEZ PEDRAZ , LUIS;PRIVADOS;
CLIBUR REPRODUCCIÓN;09-C252-0001;CL. CRUZ ROJA (HOSPITAL RECOLETAS BURGOS) 0  ;09006;BURGOS;BURGOS;947244055;947200424;ESPECIALIZADOS: CENTROS DE REPRODUCCIÓN HUMANA ASISTIDA;BANCO DE EMBRIONES#BANCO DE SEMEN#FECUNDACIÓN IN VITRO#INSEMINACIÓN ARTIFICIAL#LABORATORIO DE SEMEN PARA CAPACITACIÓN ESPERMÁTICA#RECUPERACIÓN DE OOCITOS;CLIBUR REPRODUCCIÓN, S.L.;PRIVADOS;
